# A     B       C       D       Lo      Hi       Formula
3       -1.8    -7.6    -20.8   -4.28   11.88    3 x^3 - 1.8 x^2 - 7.6 x - 20.8
2       5       14      24      -6.57   0.73     2 x^3 + 5 x^2 + 14 x + 24
2.7     7.59    9.49    3.85    -1.86   5.85     2.7 x^3 + 7.59 x^2 + 9.49 x + 3.85
1       0       -8      -32     0.44    10.58    x^3 - 8 x - 32
1.8     -9.94   -29.38  -20.28  1.4     16.18    1.8 x^3 - 9.94 x^2 - 29.38 x - 20.28
1       13.4    24.8    22.8    -20.78  -8.48    x^3 + 13.4 x^2 + 24.8 x + 22.8
2.1     -18.64  -8.44   -17.86  8.24    18.77    2.1 x^3 - 18.64 x^2 - 8.44 x - 17.86
1       19.2    46.45   31.35   -26.5   -16      x^3 + 19.2 x^2 + 46.45 x + 31.35
3       -23.6   -1.2    -57.4   1.16    12.94    3 x^3 - 23.6 x^2 - 1.2 x - 57.4
3       -54.7   -87.5   -238.8  16.32   29.8     3 x^3 - 54.7 x^2 - 87.5 x - 238.8
2.5     -16.3   -31.24  -26.24  1.94    13.22    2.5 x^3 - 16.3 x^2 - 31.24 x - 26.24
0.7     12.78   10.74   5.22    -26.59  -14.43   0.7 x^3 + 12.78 x^2 + 10.74 x + 5.22
3       -15.9   -16.9   -12.6   0.08    6.99     3 x^3 - 15.9 x^2 - 16.9 x - 12.6
0.9     6.46    17.64   48.6    -9.12   3.88     0.9 x^3 + 6.46 x^2 + 17.64 x + 48.6
0.9     -0.18   -25.18  -51.46  -2.38   12.8     0.9 x^3 - 0.18 x^2 - 25.18 x - 51.46
2       -5      7       -30     -3.07   4.42     2 x^3 - 5 x^2 + 7 x - 30
2.4     -13.12  -10.76  -74.8   -1.96   15.82    2.4 x^3 - 13.12 x^2 - 10.76 x - 74.8
2       18.2    23.2    56.7    -12.75  -4.36    2 x^3 + 18.2 x^2 + 23.2 x + 56.7
2.8     41.86   71.38   88.44   -18.45  -9.75    2.8 x^3 + 41.86 x^2 + 71.38 x + 88.44
2       6.2     11      4.8     -6.93   1.75     2 x^3 + 6.2 x^2 + 11 x + 4.8
0.8     -2.46   2.96    -61.36  1.36    13.42    0.8 x^3 - 2.46 x^2 + 2.96 x - 61.36
1       10      32      77      -16.4   -2.99    x^3 + 10 x^2 + 32 x + 77
1       -4      -3      -10     4.08    6.33     x^3 - 4 x^2 - 3 x - 10
2       3.8     7.6     -0.8    -3.7    9.66     2 x^3 + 3.8 x^2 + 7.6 x - 0.8
2       5.6     6.9     3.9     -5.81   -1.04    2 x^3 + 5.6 x^2 + 6.9 x + 3.9
